T07,T07,T07,T07,T08,E  ,E  ,E  ,T06,T07,T07,T07,T07,T07,T07,T07,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,T00,T01,T02,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,B  ,   ,   ,T06,T04,T05,T12,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,T03,T05,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,T03,T08,   ,   ,   ,   ,T09,T11,   ,   ,
   ,   ,   ,   ,   ,   ,T00,T02,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,T03,T05,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,T03,T05,   ,   ,   ,T09,T11,   ,   ,   ,
   ,   ,   ,   ,   ,   ,T03,T05,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,T06,T08,   ,   ,   ,   ,   ,   ,T09,T11,
   ,H  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
T01,T01,T01,T02,   ,   ,   ,   ,   ,   ,   ,   ,T09,T11,   ,   ,
T04,T04,T04,T05,   ,   ,   ,   ,T09,T11,   ,   ,   ,   ,   ,   ,
T04,T04,T13,T05,T09,T11,V  ,V  ,V  ,V  ,V  ,V  ,V  ,V  ,V  ,V  ,
